Reference,Title,Release,Shelf Date,Specs,Genre
16288 AS,Everest: IMAX,1998,1999-03-30,AC3,Documentary
11827 A/B,Everybody's All American,1988,1989,P&S/SRD,Drama
EE3845REG,Evil Dead 2: Dead By Dawn,1987,1998,LBX,Horror
ID2312LI,Excessive Force,1993,1993-10-20,SRD,Action
PILF-1316,The Exorcist III,1990,1991-12-16,P&S/SRD,Horror
NJEL-01007,The Exorcist,1973,1989-11-25,ANA,Horror
VLD 3152,Fail Safe,1964,1983,P&S/ANA,Crime
41415,Far and Away,1992,1992-11-11,LBX/SRD/+CAV,Drama
LV 1762,Fatal Attraction,1987,1988,P&S,Drama
LV 12881-2WS,Fatal Attraction: Directors Series,1987,1992-04-01,LBX/SRD/Uncut,Drama
5714-80,Fawlty Towers,1975,1993-06-23,,TV Series
27896,A Few Good Men,1992,1993-08-18,LBX/SRD,Action
4524-80,Fiddler On the Roof,1971,1982,P&S/ANA,Musical
32072,Fifty/Fifty,1992,1993-06-16,P&S/SRD,Action
12243,Final Analysis,1992,1992-09-09,LBX/SRD/+CAV,Drama
ID5137,Firewalker,1986,,SRD/ANA,Action
71176,First Knight,1995,1996-01-30,LBX/SRD/+CAV/THX,Drama
LV1454,Flashdance,1983,1990-12-15,P&S,Romance
ID5147,Flashpoint,1984,,P&S/ANA,Crime
LV32109,Flight of the Intruder,1991,1991-07-18,P&S/SRD,Sci-Fi
499 AS,Flight of the Navigator,1986,1986,P&S/ANA,Sci-Fi
LV 32583-2WS,Forrest Gump,1994,1995-04-27,LBX/AC3/THX,Drama
26248,Freeway: Special Edition,1996,1997-02-18,LBX/SRD,Action
10-016,From the American Film Theatre: Luther,1973,1978,ANA/CAV,Drama
ID8585WV,Fugitive TV: The Judgment,19xx,1992-08-20,,TV Series
ID8394OR,FX2: The Deadly Art of Illusion,1991,1991-12-27,P&S/SRD,Action
LV 1504-WS,Gallipoli,1981,1997-11-04,LBX,Drama
50166,Ghostbusters 2,1989,1989,LBX/SRD,Comedy
LV 32318-2,Godfather: Part III ,1990,1991-10-10,P&S/SRD/Uncut,Drama
42776,Gold Diggers: The Secret of Bear Mountain,1995,1996-05-21,LBX/SRD,Family
ID2816RH,Golden Age of Television,1981,1995-03-15,,TV Series
ML105544,Goldeneye: Special Edition,1995,1996-05-21,LBX/AC3/+CAV/THX,Action
LV335523-WS,Good Burger,1997,1998-02-24,LBX/SRD,Comedy
12039,Goodfellas,1990,1991-06-19,LBX/SRD,Crime
LV 1108,Grease,1978,1981,P&S/SRD/ANA,Musical
42149,Great Moment/Hail The Conquering Hero: Encore Edition,1944,1994-10-26,,Drama
1141 AS,Green Card,1990,1991-07-19,P&S,Romance
J2-6038,Green Ice,1981,1989,P&S,Crime
90545,The Grifters,1990,1991-11-27,P&S/SRD,Crime
14191,Grumpier Old Men,1995,1996-06-04,LBX/SRD,Comedy
PILA-1191A,Hakkenden #1: Ep. 1/2: The Kaleidoscope/Dark Music of the Gods,1993,1995-08-01,Bilingual/CAV,Anime
PILA-1192A,Hakkenden #2: Ep. 3/4: Futility Dance/Horyu,1993,1995-10-03,Bilingual/CAV,Anime
PILA-1193A,Hakkenden #3: Ep. 5/6: Demon's Melody/ The Cicada Spirit Cry,1993,1995-12-05,SRD/Bilingual/CAV,Anime
PILA-1194A,Hakkenden #4: Ep. 7: Spirits/Hakkenden Digest,1993,1996-01-30,Bilingual/CAV,Anime
PILA-1195A,Hakkenden #5: Ep. 8/9: Taigyuro Hall/Ghost Cat,1993,1996-03-26,Bilingual/CAV,Anime
PILA-1197A,Hakkenden #6: Ep. 10/11: Hamaji's/Dog Warriors,1993,1996-05-28,Bilingual/CAV,Anime
PILA-1199A,Hakkenden #7: Ep. 12/13: Aspiration/Taking,1993,1996-07-30,Bilingual/CAV,Anime
ID4423MC,Happy Gilmore,1996,1998-07-08,LBX/DTS,Comedy
11701,Heartbreak Ridge,1986,1987,P&S,Romance
ID6290ME,Hero and the Terror,1988,,P&S/SRD,Action
3619 AS,Highlander 3: The Final Dimension,1994,1995-05-31,LBX/SRD/Uncut,Fantasy
11788 LV,Hot to Trot,1988,1989,P&S/SRD,Comedy
ID2344LI,House Party 2,1991,1993-05-26,P&S/SRD,Comedy
3631 AS,Houseguest,1995,1995-07-26,LBX/SRD,Comedy
OPA-86-515,How to Watch Pro Football,1980,1980,ANA/CAV,Documentary
26776,Howards End,1992,1993-06-02,LBX/SRD,Drama
ID2847SU,The Howling: Collector's Edition,1981,1995-07-05,LBX/+CAV,Horror
42073,Iceman,1984,1994-10-19,LBX/SRD,Drama
74766,Immortal Beloved,1994,1995-07-25,LBX/SRD/Uncut,Romance
LV329873-WS,In & Out,1997,1998-03-10,LBX/SRD,Romance
42023,In the Name of the Father,1993,1994-07-06,LBX/SRD/+CAV,Drama
0411885,Independence Day: ID4,1996,1997-01-22,LBX/AC3/THX,Action
LV 1643-2WS,Indiana Jones and the Temple of Doom,1984,1992-09,LBX/SRD,Action
LV 1376-WS,Indiana Jones: Raiders of the Lost Ark,1981,1992-08-27,LBX/SRD,Action
910 AS,An Innocent Man,1989,1990,P&S/SRD,Crime
081 199-1,INXS: In Search of Excellence,1989,,,Music
LD68982,Iron & Silk,1990,1992-12-31,P&S/SRD,Drama
LV32986,Jade,1995,1996-02-20,AC3,Thriller
LV15218,Jailbait,1994,1995-11-28,P&S/SRD/Uncut,Thriller
800633909-1,Jason's Lyric,1994,,LBX/Uncut,Romance
42583,Jaws: Limited Edition: Signature Collection,1975,1995-11-28,LBX/+CAV/THX,Action
30975,Jayce and the Wheeled Warriors,1985,1989,ANA,Animation
4708 AS,Jefferson in Paris,1995,1995-10-04,LBX/SRD,Drama
LV32495-2,Jennifer 8,1992,1993-06-23,P&S/SRD,Thriller
82536,Jerry Maguire,1996,1997-06-24,LBX/SRD/Bilingual,Romance
12306,JFK,1991,1992-05-20,LBX/SRD,Drama
35574,JFK/Beyond JFK: Question of Conspiracy,1991,1993-02-10,LBX/SRD/+CAV/Uncut,Drama
11746,Jumanji,1995,1996-06-11,LBX/SRD/THX,Family
4594-80,Key Largo,1948,1983,ANA,Drama
11419 LV,Killing Fields,1984,1985,ANA,Drama
41054,King Ralph,1991,1991-08-15,P&S/SRD,Comedy
31036,Kinjite: Forbidden Subjects,1989,,P&S/SRD,Action
PILA-1174A,Kishin Heidan #3: Ep.4-5,1995,1995-04-27,SRD/Bilingual/CAV,Anime
41068,A Kiss Before Dying,1991,1991-10-10,P&S/SRD,Thriller
8782-85,Kiss of Death,1995,1995-10-04,LBX/SRD,Crime
GEP85-010,Knowledge Disc,1984,1985,CAV,Documentary
40864,Land Before Time,1988,1996-01-23,P&S/SRD,Family
ID8400TU,Laser Mission,1989,1993-04-22,P&S/+CAV,Action
8288 AS,Last Dance,1996,1996-11-20,LBX/SRD,Crime
800634461-1,The Last Seduction,1994,1995-06-27,SRD,Romance
40078,The Last Starfighter,1984,1985-04,P&S/ANA,Sci-Fi
CC1232L,Last Tango In Paris: Criterion #122,1972,1990-12-30,LBX/Bilingual,Drama
